Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-08-05,162.62277221679688,163.114525365312,160.31152641592973,160.51806934143676,56697000
2022-08-08,162.15072631835938,165.04223808745311,161.49177870542815,163.62598619996888,60276900
2022-08-09,162.19989013671875,163.08505499075815,160.55743608300256,161.31474028979756,63135500
2022-08-10,166.44863891601562,166.54698055787682,164.14722239112217,164.91435623038078,70170500
2022-08-11,165.71099853515625,168.16976453213817,165.41594361409508,167.25509577756023,57149200
2022-08-12,169.26148986816406,169.33032752565057,166.60601007376212,167.01909604715942,68039400
2022-08-15,170.33348083496094,170.5301791193321,168.52383260735886,168.6910268994302,54091700
2022-08-16,170.17613220214844,170.84492444042124,168.82873307006977,169.93025557179138,56377100
2022-08-17,171.6710662841797,173.24466771389544,169.72372757411412,169.92042587693876,79542000
2022-08-18,171.2776336669922,172.01526346746522,170.26462327491188,170.8842371095866,62290100
2022-08-19,168.69102478027344,170.87441022573427,168.48448182965225,170.1761140668042,70346300
2022-08-22,164.80618286132812,167.05840602639253,164.38326728455968,166.89121173091766,69026800
2022-08-23,164.47178649902344,165.92738691269662,163.90135093265715,164.32426652803133,54147100
2022-08-24,164.766845703125,165.33728128422243,163.5079585610888,164.5603177384026,53841500
2022-08-25,167.2256317138672,167.33381804385021,165.57334777280303,165.99624842184198,51218200
2022-08-26,160.9213409423828,168.22880259575382,160.86233294904275,167.75672364191396,78961000
2022-08-29,158.71827697753906,160.21319598841637,157.18400930436007,158.49205968709833,73314000
2022-08-30,156.28903198242188,159.8788249449609,155.11865676791015,159.45592432505862,77906200
2022-08-31,154.6269073486328,157.93149009277647,154.54822502054373,157.66593911136576,87991100
2022-09-01,155.3546905517578,155.8070951296429,152.11894582091065,154.05645479166745,74229900
2022-09-02,153.24012756347656,157.71508462008887,152.41398580114964,157.11514512449315,76957800
2022-09-06,151.98129272460938,154.49906753468105,151.1551506788899,153.88929816861977,73714800
2022-09-07,153.38768005371094,154.08596126340717,151.07643378022465,152.26648324611122,87449600
2022-09-08,151.91244506835938,153.78110171657892,150.16178940975541,152.08946906346367,84923800
2022-09-09,154.77438354492188,155.21697339109355,152.19760180929663,152.90572755463288,68028800
2022-09-12,160.7344207763672,161.5507327725536,156.67255012973044,156.95776034183677,104956000
2022-09-13,151.30264282226562,157.89213365235918,150.84039354694787,157.26269006575274,122656600
2022-09-14,152.7483673095703,154.50885206267736,151.07640953249754,152.2369398106262,87965400
2022-09-15,149.85687255859375,152.67954626691656,148.88321078041434,152.09926605765543,90481100
